total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
282,281.308,0.0512277,nan,0.0840235,0.287731
283,282.305,0.0514478,nan,0.0840083,0.287709
284,283.302,0.0516713,2.15792e-05,0.0840083,0.287709
285,284.299,0.0518949,1.52588e-05,0.0840074,0.287706
286,285.296,0.0521218,2.6429e-05,0.0840233,0.28773
287,286.293,0.0523493,0,0.0840082,0.287708
288,287.29,0.05258,nan,0.0840242,0.287733
289,288.287,0.0528076,0,0.0840081,0.287708
290,289.284,0.0530419,3.05176e-05,0.0840231,0.28773
291,290.281,0.0532732,1.52588e-05,0.0840073,0.287706
292,291.277,0.0535113,1.52588e-05,0.0840238,0.287733
293,292.274,0.053746,2.6429e-05,0.0840229,0.287729
294,293.271,0.0539844,1.52588e-05,0.0840228,0.287729
295,294.268,0.0542232,2.15792e-05,0.0840079,0.287708
296,295.265,0.0544653,1.52588e-05,0.0840079,0.287708
297,296.261,0.0547074,2.15792e-05,0.0840078,0.287708
298,297.258,0.054953,1.52588e-05,0.0840227,0.287729
299,298.255,0.0551989,0,0.0840223,0.287729
300,299.251,0.0554485,2.6429e-05,0.0840233,0.287732
301,300.248,0.0556947,0,0.0840069,0.287705
302,301.245,0.0559477,0,0.0840222,0.287729
303,302.241,0.056201,2.15792e-05,0.0840229,0.287731
304,303.238,0.0564546,1.52588e-05,0.0840076,0.287708
305,304.234,0.0567114,0,0.0840222,0.287729
306,305.231,0.0569687,2.6429e-05,0.0840076,0.287708
307,306.227,0.0572295,2.15792e-05,0.0840075,0.287708
308,307.224,0.0574902,nan,0.0840075,0.287707
309,308.22,0.0577544,0,0.0840218,0.287728
310,309.217,0.0580192,0,0.0840074,0.287707
311,310.213,0.0582871,nan,0.0840224,0.28773
312,311.209,0.0585557,1.52588e-05,0.0840081,0.28771
313,312.206,0.0588239,nan,0.0840064,0.287704
314,313.202,0.0590993,nan,0.0840222,0.28773
315,314.198,0.0593749,nan,0.084022,0.28773
316,315.195,0.0596506,nan,0.0840221,0.28773
317,316.191,0.0599266,0,0.0840071,0.287707
318,317.187,0.0602094,nan,0.0840219,0.28773
319,318.183,0.0604922,nan,0.0840359,0.28775
320,319.179,0.0607756,0,0.0840217,0.287729
321,320.176,0.0610591,3.41197e-05,0.0840068,0.287706
322,321.172,0.0613493,nan,0.0840215,0.287729
323,322.168,0.0616399,3.05176e-05,0.0840215,0.287729
324,323.164,0.0619308,nan,0.0840067,0.287706
325,324.16,0.0622282,2.15792e-05,0.0840352,0.287749
326,325.156,0.0625228,nan,0.0840205,0.287726
327,326.152,0.0628208,3.05176e-05,0.0840204,0.287726
328,327.148,0.0631226,nan,0.0840211,0.287728
329,328.144,0.0634243,0,0.0840201,0.287725
330,329.139,0.0637298,nan,0.0840201,0.287726
331,330.135,0.0640387,2.15792e-05,0.0840344,0.287747
332,331.131,0.0643448,nan,0.0840062,0.287705
333,332.127,0.0646577,nan,0.084007,0.287708
334,333.123,0.0649706,3.05176e-05,0.0840062,0.287705
335,334.118,0.0652904,2.15792e-05,0.0840341,0.287747
336,335.114,0.0656073,2.15792e-05,0.0840198,0.287725
337,336.11,0.0659277,2.15792e-05,0.0840196,0.287725
338,337.105,0.0662518,2.15792e-05,0.08402,0.287726
339,338.101,0.0665793,2.15792e-05,0.0840336,0.287747
340,339.097,0.0669071,2.15792e-05,0.0840333,0.287746
341,340.092,0.0672356,2.15792e-05,0.0840065,0.287707
342,341.088,0.0675703,3.05176e-05,0.0840331,0.287746
343,342.083,0.0679055,nan,0.084033,0.287746
344,343.079,0.0682414,nan,0.0840063,0.287707
345,344.074,0.0685835,0,0.0840328,0.287745
346,345.069,0.0689263,0,0.0840326,0.287745
347,346.065,0.0692696,3.05176e-05,0.0840061,0.287706
348,347.06,0.0696192,3.05176e-05,0.0840324,0.287745
349,348.055,0.0699693,3.05176e-05,0.084032,0.287744
350,349.051,0.0703201,3.05176e-05,0.0840059,0.287706
351,350.046,0.0706777,2.15792e-05,0.0840058,0.287706
352,351.041,0.0710354,3.05176e-05,0.0840057,0.287706
353,352.036,0.0713999,2.15792e-05,0.0840317,0.287744
354,353.031,0.0717649,nan,0.0840316,0.287743
355,354.026,0.07213,3.73762e-05,0.0840314,0.287743
356,355.021,0.0724991,2.15792e-05,0.084019,0.287726
357,356.016,0.0728751,nan,0.0840324,0.287747
358,357.011,0.0732476,4.82525e-05,0.0840309,0.287742
359,358.006,0.0736276,nan,0.0840307,0.287742
360,359.001,0.0740076,0,0.0840307,0.287742
361,359.996,0.0743881,nan,0.084005,0.287704
362,360.99,0.0747756,2.15792e-05,0.0840049,0.287704
363,361.985,0.0751698,3.05176e-05,0.0840302,0.287741
